,0
0,72.89920722771953
1,80.48169396752189
2,77.19274120024005
3,69.42811048584792
4,70.44104787287127
5,69.8196390056253
6,63.555434856530866
7,74.83663326039051
8,73.91680681007281
9,69.16828589104713
10,73.63736679217675
11,65.60515722956876
12,74.54438742133468
13,75.2243813567995
14,73.65606632003146
15,68.70279319183439
16,71.52415552232294
17,81.2945883010677
18,79.65175135767848
19,70.39808961415108
20,67.72166606959551
21,73.6201162091611
22,69.47157710443811
23,71.42773141104918
24,73.03890181512651
25,72.42660271946238
26,69.99973632557375
27,77.12637470565564
28,74.98537190295947
29,66.78026540577662
30,79.47133140680835
31,78.25094330796152
32,78.27077138820579
33,80.3991553907201
34,73.64171902288419
35,72.08158191374791
36,76.1841579164251
37,76.03868721206307
38,72.51349508809538
39,72.25817620488846
40,80.7949596753323
41,71.72273214113166
42,72.55627915397109
43,70.15543623711285
44,67.25608046365105
45,72.6764091613649
46,90.18235748915578
47,67.8980642182791
48,75.55692044034876
49,64.51379836090186
50,82.5319374012075
51,68.15583943626366
52,81.73212350081562
53,67.82223949706307
54,75.10898973753326
55,61.65926675973331
56,75.85620097017268
57,69.37584090610852
58,70.59792475709348
59,78.97812785280782
60,71.20831220098027
61,72.63953201530201
62,74.85084115080315
63,69.08662403735438
64,73.81263724458864
65,76.91792491336942
66,68.80534134608415
67,69.5351763112746
68,73.81891881561666
69,71.89241026546877
70,69.1436179321835
71,68.90085642521456
72,80.2492421553187
73,71.86898285629258
74,79.75547709266955
75,73.34204436629445
76,69.76440136839008
77,72.42406785411212
78,73.9616411088826
79,68.9760081809783
80,59.66189206163227
81,84.11966598126527
82,64.92373145052179
83,66.47728610756002
84,68.35745615144018
85,70.72804688476467
86,67.64098321035338
87,68.01521063040622
88,68.75148879182795
89,66.30477775536973
90,65.81386410911303
91,67.7254969378859
92,66.94881010964406
93,67.61755905871681
94,67.61755905871681
95,68.14041886455998
96,66.14629517903522
97,76.00181596202611
98,70.1543548899762
99,66.76602769293208
100,68.11699471292341
101,69.61892060684485
102,68.33294793385222
103,68.32320128127195
104,69.56297602562853
105,68.39502154941133
106,65.63824938197243
107,67.64145162746757
108,64.43115980591443
109,72.88530014032598
110,69.40998628822872
111,66.81696223456339
112,66.72981712701856
113,62.313218281342
114,72.57953090609925
115,71.75707620553716
116,73.03372414890582
117,69.41338972276333
118,74.3124984598434
119,70.02828695854342
120,64.49047656195131
121,63.6413777088308
122,64.57018493954477
123,70.34856031261755
124,68.14714599279287
125,63.7897421540814
126,59.91613194137848
127,61.37104546674611
128,63.90391129249302
129,60.62251893103551
130,65.90663322686795
131,63.64226177030831
132,62.313566899936305
133,63.184907045834244
134,62.01684624463736
135,82.85686748256447
136,73.18609602018385
137,70.96201481526467
138,72.63553357455494
139,64.20865720937549
140,67.85408693194283
141,72.3558938528469
142,66.52442974469122
143,65.16342345707628
144,79.9610168486564
