Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr16,Attr18,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr29,Attr30,Attr32,Attr33,Attr35,Attr36,Attr38,Attr39,Attr40,Attr43,Attr45,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr56,Attr58,Attr59,Attr60,Attr61,Attr63,Attr64,class
-0.024558,0.30051,0.10733,1.9759141530000002,34.382,-0.026711000000000002,-0.020066999999999998,2.2519,1.0667,0.67673,-0.020066999999999998,-0.1564556369873694,0.025633999999999997,-0.020066999999999998,0.057548,-0.020066999999999998,1.0853,0.0086596,-0.02302240554982657,-0.019018,0.67673,0.042607,0.13691,4.5645,0.44185,74.015,4.9315,0.0086596,0.6944600000000001,0.84898,0.008118121308709102,0.026591000000000004,125.61,-0.4962,28.56,-0.028702,-0.026907284147370394,0.78396,0.12825999999999999,0.20278,0.8853,1.1106,0.062497000000000004,0.9375,0.28816514710445823,13.632,3.693,8.316700452206454,0.8826,0.0
0.63918,0.0,1.0,5006.666667,29.678,-1.1393,0.76052,13.457514,1.1185,1.0,0.76052,4547.600062402555,0.67994,0.76052,1.3560382,0.76052,1.84392,0.7604,0.5714617791685291,0.60072,-0.50015,1.3230882000000002,18.185852000000004,1.2218,0.0,0.0,4.92668,0.7604,1.1185,1.0,0.679839070183281,13.79731526,9.6341,22.567166399999998,0.0,0.7604,0.679839070183281,-0.11574709654811965,0.0,0.0,3.0681780000000005,3.23018,0.67983,0.32014000000000004,0.0,513.8634599999999,37.885999999999996,6688.174761738362,14.358960000000002,0.0
-0.44076000000000004,0.47723000000000004,0.1926,1.467775817,34.555,0.0,-0.44076000000000004,1.0954,1.5186,0.52277,-0.42918999999999996,-1.0706113823507981,-0.24074,-0.44076000000000004,-0.76605,-0.44076000000000004,0.5004,-0.42986,-0.2902410114579218,0.7447,0.46953999999999996,-0.76605,-37.147,2.9728,0.31392,76.67,4.7606,-0.4413,1.5186,0.58832,-0.2905966021335441,0.029664999999999997,142.31,1.16075,0.0,-0.5050399999999999,-0.33256947188199654,1.2662,0.41168999999999994,0.21006,1.3211,1.4867,-0.29059,1.2871,0.12537062187960307,17.992219999999996,2.5649,3.6886978066020553,3.8376,0.0
0.11952,0.17679,0.63546,4.933282154,117.65,0.25154,0.14875,4.5826,1.1263,0.81017,0.14875,0.8413937439900447,0.1315,0.14875,1.1894,0.14875,0.97491,0.14495,0.10611737547722631,0.31527,0.81017,1.0241,1.0209,5.4536,-0.18039000000000002,45.45,8.0308,0.14495,1.6219999999999999,0.81017,0.1286957293793838,2.7023,76.354,0.66747,46.033,0.083425,0.07406996359762053,4.5944,0.17679,0.12452,4.3151,4.3151,0.11210999999999999,0.88789,0.0160953873878322,8.9302,10.287,6.370835454494032,8.5169,0.0
0.2304,0.27095,0.23761999999999997,2.5744828369999997,-26.928,0.61754,0.28269,2.6907,0.80411,0.72905,0.28433,1.873235703399377,0.39016,0.28269,1.1579,0.28269,1.4416,0.28433,0.28652796259218266,0.61655,0.6281899999999999,0.9648700000000001,173.05,7.2973,0.33696,126.76,3.4578,0.36955,0.80411,0.84909,0.4595764261108555,1.1024,100.84,2.2714,70.95,0.2533,0.3150066533185758,1.4339,0.15091,0.2892,1.1923,1.3886,0.45957,0.6232,0.1646526301351073,7.9274,6.6605,5.328407660194818,1.315,0.0
0.15255,0.47011000000000003,0.018859,1.040672153,-39.998000000000005,0.0,0.15255,1.1272,1.9155,0.52989,0.1615,0.32859450726979,0.09123200000000001,0.15255,0.37174,0.15255,1.0724,0.0,0.07963978073610023,0.22983,0.095462,0.37174,0.0,4.0682,0.24418,108.6,3.3608,0.008557500000000001,1.9155,0.52989,0.004467501957713391,0.018452,90.425,0.8310799999999999,42.94,-0.022206,-0.011592795614722004,1.0277,0.46425,0.29755,1.0252,1.0252,0.18545,0.8196399999999999,0.011058899016777085,10.436,6.5827,4.126009693053312,3.7058,0.0
0.036331999999999996,0.25392,0.42075,3.093639172,52.16,-0.013645,0.037068000000000004,2.9382,1.5236,0.74608,0.052163,0.1844546178343949,0.08481,0.037068000000000004,0.50888,0.037068000000000004,0.9688399999999999,0.044479000000000005,0.023846153846153847,0.11615,0.57667,0.50598,2.9467,5.053999999999999,0.026201,50.076,7.289,0.058786,1.5236,0.74608,0.03858361774744027,1.0983,96.06299999999999,0.16887,53.608999999999995,-0.04767,-0.03128773956419007,2.4484,0.20096,0.13719,1.9722,1.9722,0.038584,0.9765,0.07098434484237624,7.0818,8.1981,7.581608280254778,4.0276,0.0
0.11767000000000001,0.37332,0.26743,2.322838961,18.308,0.14870999999999998,0.14570999999999998,1.6787,1.1986,0.62668,0.14570999999999998,0.7208013851100668,0.18652,0.14570999999999998,0.43793000000000004,0.14570999999999998,1.3816,0.13334000000000001,0.09817286834640414,0.1902,0.62668,0.36282,1.8232,4.9982,0.33873000000000003,100.89,3.6177,0.13334000000000001,0.8889100000000001,0.79785,0.11124645419656265,0.6139,143.86,0.64144,91.56,0.11556,0.09641248122809944,1.2578,0.20215,0.27642,1.1815,1.5042,0.16567,0.8343299999999999,0.27313780557860473,4.7780000000000005,5.4098,5.929260450160772,1.6525,0.0
0.034426,0.8457399999999999,0.0003502,1.002622847,-64.815,-0.006476999999999999,0.043455,0.18039000000000002,1.0484,0.15256,0.043455,0.0761406644238856,0.10405,0.043455,0.14073,0.043455,1.5275,0.052525,0.03283670354826402,-0.0050601000000000005,0.15256,0.13005999999999998,0.48136,4.7943,0.73764,190.91,1.9119,0.052525,1.1552,0.42758999999999997,0.050100152613506296,0.0046148000000000005,181.37,0.18865,61.042,-0.023046,-0.021982067913010304,0.67523,0.57072,0.52303,0.35569,0.99687,0.046133999999999994,0.9538700000000001,1.813843733613004,6.2687,2.964,1.836977852537146,2.667,0.0
-0.13918,0.99555,-0.012322,0.987129536,-98.196,-0.14454,-0.13918,0.004473899999999999,2.1387,0.004454,-0.11765,-0.1454442853709258,-0.054877999999999996,-0.13918,-0.11789000000000001,-0.13918,0.85659,-0.11765,-0.06507691588348062,-0.14795,-0.024494,-0.11789000000000001,-5.466,3.2373,0.45821999999999996,158.17,2.3077,-0.06964400000000001,2.1387,0.004454,-0.032563706924767385,0.028436000000000003,156.57,-0.24313,94.615,-0.13946,-0.06520783653621358,0.9488399999999999,0.95693,0.43333,0.080416,0.080416,-0.032563999999999996,1.0615,8.669959586888222,3.7361,6.1997,2.234959714921677,38.613,0.0
